symbol	Protein Length	Kinome	DING	Ontogen	Foundation	RAS_Pathway
CBL	906				CBL	CBL
EXOC1	894					EXOC1
PIK3R5	880					PIK3R5
MCM4	863					MCM4
RASA2	850			RASA2		RASA2
VAV1	845					VAV1
RASA3	834					RASA3
FGFR1	822	FGFR1	FGFR1	FGFR1	FGFR1	FGFR1
FGFR2	821	FGFR2	FGFR2	FGFR2	FGFR2	FGFR2
MCM6	821					MCM6
MCM3	808			MCM3		MCM3
FGFR3	806	FGFR3	FGFR3	FGFR3	FGFR3	FGFR3
EXOC6	804					EXOC6
RASAL1	804					RASAL1
FGFR4	802	FGFR4			FGFR4	FGFR4
RASGRP1	797			RASGRP1		RASGRP1
BARD1	777				BARD1	BARD1
RGL2	777					RGL2
RGL1	768					RGL1
BRAF	766	BRAF	BRAF	BRAF	BRAF	BRAF
PIK3R6	754					PIK3R6
EXOC3	745					EXOC3
RPS6KA6	745	RPS6KA6				RPS6KA6
RPS6KA3	740	RPS6KA3	RPS6KA3			RPS6KA3
EXOC7	735					EXOC7
RPS6KA1	735	RPS6KA1				RPS6KA1
MCM5	734					MCM5
RPS6KA2	733	RPS6KA2				RPS6KA2
TBK1	729	TBK1				TBK1
PIK3R2	728		PIK3R2			PIK3R2
EXOC8	725					EXOC8
PIK3R1	724		PIK3R1	PIK3R1	PIK3R1	PIK3R1
CNKSR1	720					CNKSR1
MCM7	719					MCM7
RGL3	710					RGL3
EXOC5	708					EXOC5
RASGRP3	690					RASGRP3
RASGRP4	673					RASGRP4
RALBP1	655					RALBP1
RAF1	648	RAF1	RAF1		RAF1	RAF1
MYB	640			MYB	MYB	MYB
TP73	636					TP73
SHC4	630					SHC4
RASGRP2	609					RASGRP2
ARAF	606	ARAF	ARAF		ARAF	ARAF
NFE2L2	605		NFE2L2	NFE2L2	NFE2L2	NFE2L2
PTPN11	597		PTPN11	PTPN11	PTPN11	PTPN11
GRB10	594					GRB10
SHC3	594					SHC3
PAK4	591	PAK4				PAK4
SHC1	583					SHC1
SHC2	582					SHC2
SHOC2	582					SHOC2
PRKAG2	569					PRKAG2
NOX1	564					NOX1
CDC6	560					CDC6
PAK3	559	PAK3				PAK3
PRKAA1	559	PRKAA1				PRKAA1
FANCC	558				FANCC	FANCC
PDPK1	556	PDPK1				PDPK1
PRKAA2	552	PRKAA2				PRKAA2
ERF	548					ERF
PAK1	545	PAK1				PAK1
RPS6KB1	525	RPS6KB1				RPS6KB1
CDC25A	524					CDC25A
PAK2	524	PAK2				PAK2
RASSF10	507					RASSF10
YAP1	504					YAP1
MDM2	491				MDM2	MDM2
STK3	491	STK3				STK3
PRKAG3	489					PRKAG3
STK4	487	STK4		STK4		STK4
RPS6KB2	482	RPS6KB2				RPS6KB2
AKT2	481	AKT2			AKT2	AKT2
AKT1	480	AKT1	AKT1	AKT1	AKT1	AKT1
AKT3	479	AKT3			AKT3	AKT3
CASP8	479		CASP8	CASP8	CASP8	CASP8
CBLC	474					CBLC
ETS2	469					ETS2
CCNA1	465					CCNA1
E2F3	465					E2F3
PIK3R3	461			PIK3R3		PIK3R3
TFDP2	446			TFDP2		TFDP2
SPRED1	444					SPRED1
ETS1	441					ETS1
MYC	439		MYC	MYC	MYC	MYC
E2F1	437					E2F1
E2F2	437					E2F2
FNTB	437					FNTB
RASSF9	435					RASSF9
STK11	433	STK11	STK11	STK11	STK11	STK11
CCNA2	432					CCNA2
ELK1	428					ELK1
RASSF8	419					RASSF8
RAD52	418				RAD52	RAD52
RASSF5	418					RASSF5
SPRED2	418					SPRED2
SPRED3	410					SPRED3
TFDP1	410			TFDP1		TFDP1
PTEN	403		PTEN	PTEN	PTEN	PTEN
CYTH2	400					CYTH2
MAP2K2	400	MAP2K2			MAP2K2	MAP2K2
DUSP4	394					DUSP4
MAP2K1	393	MAP2K1	MAP2K1	MAP2K1	MAP2K1	MAP2K1
TP53	393		TP53	TP53	TP53	TP53
DUSP5	384					DUSP5
SAV1	383					SAV1
DUSP6	381					DUSP6
FOS	380					FOS
FNTA	379					FNTA
MAPK3	379	MAPK3				MAPK3
RASSF7	373					RASSF7
RASSF6	369					RASSF6
DUSP1	367					DUSP1
MAPK1	360	MAPK1	MAPK1		MAPK1	MAPK1
RASSF1	344					RASSF1
JUN	331				JUN	JUN
PRKAG1	331					PRKAG1
PPP1CA	330					PPP1CA
RCE1	329					RCE1
CDK6	326	CDK6			CDK6	CDK6
MLST8	326					MLST8
RASSF2	326					RASSF2
RASSF4	321					RASSF4
SPRY1	319					SPRY1
SPRY2	315					SPRY2
DUSP2	314					DUSP2
TYMS	313					TYMS
UNG	313					UNG
CASP7	303					CASP7
CDK4	303	CDK4	CDK4	CDK4	CDK4	CDK4
SPRY4	299					SPRY4
CDK2	298	CDK2				CDK2
CCND1	295		CCND1	CCND1	CCND1	CCND1
CCND3	292				CCND3	CCND3
CCND2	289				CCND2	CCND2
SPRY3	288					SPRY3
ICMT	284					ICMT
CASP3	277					CASP3
PRKAB2	272					PRKAB2
FOSL1	271					FOSL1
PRKAB1	270					PRKAB1
RASSF3	238					RASSF3
TK1	234					TK1
GRB2	217					GRB2
MRAS	208					MRAS
RALA	206					RALA
RALB	206					RALB
RHOB	196		RHOB			RHOB
RHOA	193		RHOA	RHOA		RHOA
RHOC	193					RHOC
RAC1	192		RAC1	RAC1	RAC1	RAC1
RAC2	192					RAC2
RAC3	192					RAC3
HRAS	189		HRAS	HRAS	HRAS	HRAS
KRAS	189		KRAS	KRAS	KRAS	KRAS
NRAS	189		NRAS	NRAS	NRAS	NRAS
DHFR	187					DHFR
PEBP1	187					PEBP1
DUSP3	185					DUSP3
RHEB	184		RHEB	RHEB		RHEB
CDKN1A	164		CDKN1A	CDKN1A	CDKN1A	CDKN1A
PIN1	163					PIN1
PEA15	130					PEA15
EIF4EBP2	120					EIF4EBP2
EIF4EBP1	118					EIF4EBP1
EIF4EBP3	100					EIF4EBP3
TTN	34350	TTN				
MUC16	14507					
SYNE1	8797					
MUC19	8384					
OBSCN	7968	OBSCN				
DST	7570					
MACF1	7388		MACF1	MACF1		
FSIP2	6907					
SYNE2	6885					
NEB	6669					
ADGRV1	6306					
AHNAK	5890			AHNAK		
AHNAK2	5795					
MUC5B	5762					
MUC5AC	5654					
HMCN1	5635					
MDN1	5596					
KMT2D	5537		KMT2D		KMT2D	
MUC12	5478					
FCGBP	5405					
NBPF20	5207					
RNF213	5207					
USH2A	5202					
UBR4	5183					
MUC2	5179					
SSPO	5150					
PCLO	5142					
HYDIN	5121					
EPPK1	5088					
HMCN2	5059					
ABCA13	5058					
RYR1	5038					
KIAA1109	5005					
FAT4	4981					
RYR2	4967					
KMT2C	4911		KMT2C			
RYR3	4870					
HERC1	4861					
BIRC6	4857					
HERC2	4834					
DNHD1	4753					
STARD9	4700					
PLEC	4684					
MYCBP2	4678					
LRP2	4655					
DYNC1H1	4646					
DNAH5	4624					
LRP1B	4599					
FAT1	4588		FAT1	FAT1		
SACS	4579					
APOB	4563		APOB			
FAT3	4557					
LPA	4548					
LRP1	4544					
DNAH11	4516					
MUC17	4493					
DNAH8	4490					
DNAH9	4486					
DNAH10	4471					
DNAH17	4462					
DNAH2	4427					
HSPG2	4391					
VPS13D	4388					
ANK3	4377			ANK3		
HUWE1	4374		HUWE1			
FAT2	4349			FAT2		
DYNC2H1	4307					
PKD1	4303	PKD1				
DNAH1	4265					
TNXB	4244					
PKHD1L1	4243					
ALMS1	4168					
DNAH6	4158					
PRKDC	4128	PRKDC				
DNAH3	4116					
PKHD1	4074					
CMYA5	4069					
FLG	4061					
DNAH7	4024					
VPS13B	4022					
FRAS1	4008					
HECTD4	3996					
KMT2A	3969		KMT2A		KMT2A	
ANK2	3957					
BSN	3926					
ZNF469	3925					
AKAP9	3907			AKAP9		
TRRAP	3859	TRRAP				
LYST	3801					
VPS13C	3753					
CSMD3	3707					
ZFHX3	3703		ZFHX3	ZFHX3		
LAMA5	3695					
DMD	3685		DMD			
SPTBN5	3674					
SPEN	3664				SPEN	
SMG1	3661	SMG1				
CUBN	3623					
SVEP1	3571			SVEP1		
ZFHX4	3567					
CSMD1	3564					
USP34	3546					
MYO15A	3530					
WDFY3	3526					
DNAH14	3507					
CSMD2	3487					
ASPM	3477			ASPM		
RELN	3460					
UTRN	3433					
SZT2	3432					
VCAN	3396					
XIRP2	3374					
CDH23	3354					
PCNT	3336					
LAMA3	3333					
MUC3A	3323					
CELSR3	3312					
DCHS1	3298					
SPEG	3267	SPEG				
GOLGB1	3259					
UNC80	3258					
MKI67	3256					
SRCAP	3230					
RANBP2	3224					
CFAP47	3187					
WDFY4	3184					
COL6A3	3177					
VPS13A	3174					
FREM2	3169					
EYS	3165					
EP400	3159					
HTT	3142					
REV3L	3130					
LAMA2	3122			LAMA2		
CEP350	3117					
CENPF	3114					
TRIO	3097	TRIO		TRIO		
CFAP54	3096					
DNAH12	3092					
PRUNE2	3088					
ADGRG4	3080					
LAMA1	3075					
COL12A1	3063					
ATM	3056	ATM	ATM	ATM	ATM	
BOD1L1	3051					
BPTF	3046			BPTF		
DMXL2	3036					
DMXL1	3027					
MGA	3026		MGA	MGA		
CELSR1	3014					
FRYL	3013					
FRY	3013					
CHD7	2997					
KALRN	2985	KALRN		KALRN		
CRYBG3	2970					
ASH1L	2969			ASH1L		
TNRC18	2968					
ZZEF1	2961					
TACC2	2948					
NBEA	2946					
COL7A1	2944					
TRANK1	2925					
OTOG	2925					
CELSR2	2923					
DCHS2	2916					
FBN2	2912					
CHD9	2897			CHD9		
PRRC2C	2896					
WDR87	2873					
DSP	2871					
FBN1	2871					
LRBA	2863					
HRNR	2850					
PKD1L1	2849					
MEGF8	2845					
APC	2843		APC	APC	APC	
PDZD2	2839					
MXRA5	2828					
VWF	2813					
AKAP13	2813					
ZAN	2812					
FBN3	2809					
NIPBL	2804		NIPBL			
MAP1A	2803					
UBR5	2799					
TEX15	2789					
UTP20	2785					
TENM2	2774					
TENM4	2769					
TG	2768					
ITPR1	2758					
NBEAL2	2754					
PIEZO2	2752					
SRRM2	2752					
FLNC	2725					
TENM1	2725					
ZNF292	2723			ZNF292		
HIVEP1	2718					
CFAP46	2715					
CHD6	2715			CHD6		
KMT2B	2715		KMT2B			
CENPE	2701					
ITPR2	2701					
TENM3	2699					
NSD1	2696		NSD1	NSD1		
NBEAL1	2694					
SETX	2677					
ITPR3	2671					
GCN1	2671					
ANKRD11	2663					
HELZ2	2649					
FLNA	2647		FLNA			
ATR	2644	ATR	ATR	ATR	ATR	
BAHCC1	2639					
UNC79	2635					
TEP1	2627					
BDP1	2624					
MAST4	2623	MAST4				
IGSF10	2623					
USP24	2620					
COL6A5	2615					
HECTD1	2610					
ANKRD17	2603					
FLNB	2602					
ABCA12	2595					
POLQ	2590		POLQ			
CHD8	2581		CHD8	CHD8		
EPG5	2579					
ZFHX2	2572					
USP9X	2570		USP9X			
STAB1	2570					
MYO18B	2567					
SETD2	2564		SETD2	SETD2	SETD2	
SPTBN4	2564					
USP9Y	2555					
NOTCH1	2555		NOTCH1	NOTCH1	NOTCH1	
STAB2	2551					
FRAP1	2549	FRAP1				
MYO9A	2548					
ANKHD1	2542					
TLN2	2542					
TLN1	2541					
JMJD1C	2540					
ZFYVE26	2539					
CEP192	2537					
ACAN	2530					
LRRK2	2527	LRRK2				
PIEZO1	2521					
CUL9	2517					
NCOR2	2514			NCOR2		
FASN	2511					
CACNA1A	2506		CACNA1A			
ZNF462	2506					
ATRX	2492		ATRX	ATRX	ATRX	
IGF2R	2491					
NAV2	2488					
PTPN13	2485					
TTC28	2481					
CEP290	2479			CEP290		
SPTAN1	2472		SPTAN1	SPTAN1		
RIF1	2472					
NOTCH2	2471		NOTCH2	NOTCH2	NOTCH2	
MAP1B	2468					
PKD1L2	2459					
ACACB	2458					
CCDC168	2452					
HIVEP2	2446					
SPG11	2443					
CREBBP	2442		CREBBP	CREBBP	CREBBP	
CEP250	2442					
NCOR1	2440		NCOR1	NCOR1		
MUC6	2439		MUC6			
ABCA2	2435					
SON	2426					
GVINP1	2422					
SPTA1	2419		SPTA1			
EP300	2414		EP300	EP300	EP300	
DMBT1	2413					
HIVEP3	2406					
RP1L1	2400					
FLG2	2391					
SPTBN2	2390					
FN1	2386			FN1		
NAV3	2385					
WNK1	2382	WNK1		WNK1		
CACNA1G	2377					
CNOT1	2376			CNOT1		
NBAS	2371					
GPR179	2367					
TRIOBP	2365					
SPTBN1	2364					
TPR	2363					
SEC16A	2357					
ZDBF2	2354					
CACNA1H	2353					
C2CD3	2353					
FAM186A	2351					
F8	2351			F8		
ACACA	2346			ACACA		
PDE4DIP	2346					
CACNA1B	2339					
PRPF8	2335			PRPF8		
OTOGL	2332					
PTPRQ	2332					
CNTRL	2325					
CSPG4	2322					
NOTCH3	2321				NOTCH3	
BRWD1	2320			BRWD1		
AKAP6	2319					
PTPRZ1	2315					
CACNA1E	2313					
APC2	2303					
WNK2	2297	WNK2				
POLE	2286		POLE		POLE	
ARID1A	2285		ARID1A	ARID1A	ARID1A	
ZNF318	2279					
ABCA4	2273					
URB1	2271					
AHCTF1	2266			AHCTF1		
ICE1	2266					
COL6A6	2263					
ABCA1	2261					
PKDREJ	2253					
ASXL3	2248					
ZNF407	2248					
DNAJC13	2243					
GON4L	2241					
DIDO1	2240					
ARID1B	2236			ARID1B		
KIAA0100	2235					
GOLGA4	2230					
PRRC2B	2229					
RTTN	2226					
CAD	2225			CAD		
F5	2224					
SPAG17	2223					
CACNA1I	2223					
CACNA1C	2221					
CABIN1	2220					
MYO7A	2215					
SVIL	2214					
UNC13C	2214					
SORL1	2214					
SDK1	2213					
MED13L	2210					
KNTC1	2209					
ASCC3	2202					
TNC	2201					
INTS1	2190					
DOCK10	2186					
FREM1	2179					
MED12	2177		MED12	MED12	MED12	
MED13	2174					
SDK2	2172					
ALPK2	2170	ALPK2				
MUC4	2169					
BAZ2B	2168			BAZ2B		
CACNA1D	2161					
SHANK1	2161					
PRRC2A	2157					
MYO9B	2157					
RP1	2156					
MALRD1	2156					
TECTA	2155					
PRR14L	2151					
YLPM1	2146					
ABCA7	2146					
MED12L	2145					
HEATR1	2144					
DOCK7	2140					
FREM3	2139					
SPTB	2137					
SNRNP200	2136					
TET1	2136					
ESPL1	2120					
MYO7B	2116					
NUMA1	2115					
GTF3C1	2109					
KIF26B	2108					
ZGRF1	2104					
KIAA2026	2103					
PI4KA	2102					
DOCK8	2099					
PIKFYVE	2098					
TDRD6	2096					
NUP214	2090					
NIN	2090					
MDC1	2089					
ARHGAP32	2087					
DYSF	2080					
ATG2B	2078					
NACA	2078					
DOCK11	2073					
KAT6B	2073			KAT6B		
HEATR5B	2071					
MPDZ	2070					
DOCK9	2069					
AGRN	2068					
LOXHD1	2067					
NCOA6	2063					
ARHGEF17	2063					
ANKRD12	2062					
MYOF	2061					
MYO10	2058					
FER1L5	2057					
MYO18A	2054					
DSCAML1	2053					
FANCM	2048					
DOCK6	2047					
HEATR5A	2040					
CR1	2039					
PHF3	2039					
PRR12	2036					
HCFC1	2035			HCFC1		
EVPL	2033					
CKAP5	2032					
DOCK3	2030					
CCDC88C	2028					
CIT	2027	CIT				
TTC3	2025					
PCM1	2024					
TRPM6	2022	TRPM6				
CROCC	2017					
SCN5A	2016					
LRRK1	2015	LRRK1				
DSCAM	2012					
NUP205	2012					
SCN1A	2009					
SMCHD1	2005					
SCN2A	2005					
KAT6A	2004					
NOTCH4	2003					
TET2	2002		TET2	TET2	TET2	
MICAL3	2002					
CHD3	2000		CHD3	CHD3		
SCN3A	2000					
PTPRB	1997					
OTOF	1997					
SHROOM3	1996					
MYH14	1995			MYH14		
TRIP12	1992					
TANC2	1990					
ZFC3H1	1989					
EXPH5	1989					
SCN9A	1988					
C2orf16	1984					
MYH7B	1983					
CASP8AP2	1982					
MCM3AP	1980					
SCN8A	1980					
TRIP11	1979					
ZNF638	1978			ZNF638		
CACNA1F	1977					
MYH10	1976			MYH10		
MYH11	1972			MYH11		
TP53BP1	1972			TP53BP1		
POLR2A	1970					
EML5	1969					
DOCK4	1966					
SETD1B	1966					
TNRC6A	1962					
MYH9	1960		MYH9	MYH9		
TCF20	1960					
ARHGAP21	1958					
EML6	1958					
SCN10A	1956					
PCDH15	1955					
CHD5	1954					
THADA	1953					
KIAA1549	1950					
GREB1	1949					
PTPRS	1948					
MYH15	1946					
ANAPC1	1944					
TCHH	1943					
KIAA1217	1943					
HELZ	1942					
ANKRD36	1941					
WDR81	1941					
MYH2	1941					
MYH3	1940					
MYH1	1939					
MYH6	1939					
MYH4	1939					
ATG2A	1938					
MYH13	1938					
MYH8	1937					
MYH7	1935					
ADAMTS9	1935					
TDRD15	1934					
LCT	1927					
CFAP65	1925					
PLXND1	1925					
GREB1L	1923					
DICER1	1922		DICER1	DICER1		
DLG5	1919					
ZNFX1	1918					
MYLK	1914	MYLK				
RLF	1914					
PTPRD	1912		PTPRD			
CHD4	1912		CHD4	CHD4		
AK9	1911					
ADAMTS20	1910					
TICRR	1910					
NCKAP5	1909					
DENND4C	1909					
PLXNB3	1909					
ALPK3	1907	ALPK3				
PTPRF	1907			PTPRF		
MIA3	1907					
RAI1	1906					
VWA8	1905					
LRP4	1905					
BAZ2A	1905					
MTCL1	1905					
AKAP11	1901					
NYNRIN	1898					
OBSL1	1896					
PLXNA1	1896			PLXNA1		
PLXNA2	1894					
FNDC1	1894					
PLXNA4	1894					
CDK5RAP2	1893					
NUP210L	1888					
UBR3	1888					
NUP210	1887					
CPAMD8	1885					
TMEM131	1883					
ZNF106	1883					
KIF26A	1882					
ANK1	1881					
NAV1	1877					
CACNA1S	1873					
ANKRD31	1873					
TAF1	1872	TAF1	TAF1	TAF1		
PLXNA3	1871					
PDCD11	1871					
CCDC88A	1871					
DOCK5	1870					
SBF1	1868					
NLRC5	1866					
TRPM7	1865	TRPM7				
DOCK1	1865					
DENND4A	1863					
TANC1	1861					
COL27A1	1860					
PCSK5	1860			PCSK5		
GBF1	1859					
KMT2E	1858					
MYO16	1858					
MGAM	1857					
FER1L6	1857					
MYO5A	1855					
CFAP44	1854					
BTAF1	1849					
KIAA1549L	1849					
SBF2	1849					
ARFGEF1	1849			ARFGEF1		
MYO5B	1848					
ZNF236	1845					
ATAD5	1844					
PSME4	1843					
XIRP1	1843					
PLXNB2	1838		PLXNB2	PLXNB2		
COL5A1	1838		COL5A1			
ZSWIM8	1837					
SCN4A	1836					
ARID2	1835		ARID2	ARID2		
SLX4	1834					
TNRC6B	1833					
DOCK2	1830					
ZNF646	1829					
CHD2	1828					
MAP2	1827					
SI	1827					
TAF1L	1826	TAF1L				
KIF13B	1826					
LAMA4	1823					
ITGB4	1822					
SPEF2	1822					
LTBP2	1821					
PHIP	1821					
KIF20B	1820					
TUBGCP6	1819					
NUP98	1817			NUP98		
KIF1B	1816					
FRMPD3	1810					
COL11A1	1806					
KIAA1671	1806					
KIF13A	1805					
SIPA1L1	1804					
BRWD3	1802					
PARP14	1801					
FOCAD	1801					
WNK3	1800	WNK3				
MAST2	1798	MAST2				
LAMB2	1798					
COL14A1	1796					
FER1L4	1794					
RBBP6	1792					
PAPPA2	1791					
SCN11A	1791					
LAMB1	1786					
ARFGEF2	1785			ARFGEF2		
DCDC1	1783					
AKAP12	1782					
SIPA1L3	1781					
ANKRD36C	1778					
STRC	1775					
MUC22	1773					
STRCP1	1772					
KIDINS220	1771					
N4BP2	1770					
LTN1	1766					
RGPD8	1765					
RGPD5	1765					
ADAMTSL1	1762					
LAMB4	1761					
KDM3B	1761					
CASZ1	1759					
RGPD3	1758					
RGPD4	1758					
PPL	1756					
RGPD2	1756					
BCOR	1755		BCOR	BCOR	BCOR	
UBR2	1755					
DLEC1	1755					
COL18A1	1754					
NUP188	1749					
KNDC1	1749					
UBR1	1749					
IFT172	1749					
RGPD1	1748					
TJP1	1748			TJP1		
WDR90	1748					
PEAK1	1746					
COL5A3	1745					
C4A	1744					
C4B	1744					
MYO5C	1742					
NWD2	1742					
NALCN	1738					
COL11A2	1736					
SGK269	1735	SGK269				
QSER1	1735					
TNS1	1735					
CDC42BPA	1732	CDC42BPA				
PKD1L3	1732					
TRPM3	1732					
SHANK3	1731					
NRAP	1730					
TNKS1BP1	1729					
SUPT6H	1726					
PARP4	1724					
LY75	1722					
LRRIQ1	1722					
FMN2	1722					
SIPA1L2	1722					
LTBP1	1721					
ITSN1	1721			ITSN1		
POLR1A	1720					
PRDM2	1718					
PHLPP1	1717					
MON2	1717					
COL24A1	1714					
COL4A2	1712					
DDX60	1712					
CDC42BPB	1711	CDC42BPB				
BCORL1	1711				BCORL1	
CHD1	1710					
CEP152	1710					
ANKRD26	1710					
SIGLEC1	1709					
KIAA1210	1709					
RICTOR	1708				RICTOR	
SETD1A	1707					
DDX60L	1706					
XRN1	1706			XRN1		
ARHGEF28	1705					
ARAP2	1704					
ABCA3	1704					
UNC13A	1703					
CCDC180	1701					
LRRC37A2	1700					
LRRC37A	1700					
SPHKAP	1700					
CUL7	1698					
ITSN2	1697					
PLCH1	1693					
RIMS1	1692					
TOPAZ1	1692					
ADAMTSL3	1691					
COL4A6	1691					
KDM5A	1690				KDM5A	
COL4A4	1690					
KIF1A	1690		KIF1A			
TNRC6C	1690					
PBRM1	1689		PBRM1	PBRM1	PBRM1	
ZNF142	1687					
RREB1	1687					
PIK3C2A	1686					
ADAMTS7	1686					
COL4A5	1685					
MYOM1	1685					
USP54	1684					
GCC2	1684					
SHPRH	1683					
LMO7	1683					
SCN7A	1682					
ZNF831	1677					
C5	1676					
CLTC	1675			CLTC		
MROH2A	1674					
KIF21A	1674					
CAMTA1	1673					
COL4A3	1670					
COL4A1	1669					
ZC3H13	1668					
ADGB	1667					
CFAP43	1665					
PPRC1	1664					
C3	1663					
CTTNBP2	1663					
QRICH2	1663					
TET3	1660					
PREX1	1659					
IQGAP1	1657					
ALS2	1657					
THSD7A	1657					
WIZ	1651					
NHS	1651					
ROBO1	1651					
EIF2AK4	1649	EIF2AK4				
PHRF1	1649					
KIF14	1648					
SMARCA4	1647		SMARCA4	SMARCA4	SMARCA4	
MADD	1647					
KDM6B	1643					
ABCA5	1642					
MROH1	1641					
CLTCL1	1640					
RIMBP3C	1639					
RIMBP3B	1639					
RIMBP3	1639					
KIF21B	1637					
PTPN23	1636					
PIK3C2B	1634			PIK3C2B	PIK3C2B	
LRRC37A3	1634					
IQGAP3	1631					
PAPPA	1627					
TOP2B	1626					
COL22A1	1626					
ABCA9	1624					
LTBP4	1624					
RNF17	1623					
NES	1621					
TARBP1	1621					
CC2D2A	1620					
KIAA0556	1618					
ABCA6	1617					
MYO3A	1616	MYO3A				
DNMT1	1616					
SHROOM2	1616					
LRP5	1615					
LRP6	1613			LRP6		
NHSL1	1610					
ADCY10	1610					
LAMC1	1609					
MAP3K4	1608	MAP3K4	MAP3K4	MAP3K4		
CIC	1608		CIC	CIC	CIC	
THSD7B	1608					
HECW1	1606					
COL16A1	1604					
USP32	1604					
DEPDC5	1603					
AHDC1	1603					
TRPM1	1603					
CAMSAP1	1602					
RAPGEF6	1601					
EIF4G1	1599			EIF4G1		
ARHGEF5	1597					
SETBP1	1596		SETBP1			
ADAMTS12	1594					
RB1CC1	1594					
THOC2	1593					
UNC13B	1591					
SMARCA2	1590					
VWDE	1590					
SAMD9	1589					
CEP170B	1589					
PEG3	1588					
GLI2	1586					
EIF4G3	1585			EIF4G3		
MROH2B	1585					
CEP170	1584					
SAMD9L	1584					
NRK	1582	NRK				
ABCA8	1581					
ABCC8	1581					
MED1	1581					
GLI3	1580					
FRMPD1	1578					
DNMBP	1577					
SPATA31D1	1576					
DIP2B	1576					
IQGAP2	1575					
LAMC3	1575					
SSC5D	1573					
SYNJ1	1573					
HECW2	1572					
DIP2A	1571					
MAST1	1570	MAST1				
PLXNC1	1568					
KCP	1568					
RERE	1566					
SYNM	1565					
NWD1	1564					
TTC37	1564					
NACAD	1562					
NEURL4	1562					
ERCC6L2	1561					
KDM5C	1560		KDM5C	KDM5C	KDM5C	
BAZ1A	1556					
INO80	1556					
DIP2C	1556					
PCF11	1555					
UGGT1	1555					
CDC42BPG	1551	CDC42BPG				
DUOX1	1551					
ABCC9	1549					
ZMYM4	1548					
DUOX2	1548					
ABCC2	1545					
ARAP3	1544			ARAP3		
ARHGEF12	1544					
KDM5B	1544					
ABCA10	1543					
TULP4	1543					
MEGF6	1541					
ASXL1	1541		ASXL1	ASXL1	ASXL1	
ZFYVE16	1539					
KDM5D	1539					
HMGXB3	1538					
CLASP1	1538					
DOT1L	1537				DOT1L	
LRRC7	1537					
SLIT1	1534					
KIAA0586	1533					
AGL	1532					
NFAT5	1531					
TOP2A	1531					
ABCC1	1531					
ERICH3	1530					
MYO15B	1530					
SYCP2	1530					
SLIT2	1529					
DLC1	1528					
ABCC3	1527					
URB2	1524					
DISP1	1524					
SLIT3	1523					
EHBP1L1	1523					
ARHGEF11	1522					
TOPBP1	1522					
ARHGEF40	1519					
WDR62	1518					
RUSC2	1516					
UGGT2	1516					
FAM135A	1515					
MAPKBP1	1514					
CDC2L5	1512	CDC2L5				
MAP3K1	1512	MAP3K1	MAP3K1	MAP3K1	MAP3K1	
EPRS	1512					
CDK13	1512					
